HDI rank,Country,Region,Human development index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,Gender Inequality Index,Gender Inequality Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Female education rate,Male education rate,Female labor force participation,Male labor force participation
1,Norway,Europe & Central Asia,0.954,82.3,18.1,12.6,"68,059",0.044,5,5,5.1,41.4,96.1,94.8,60.2,66.7
2,Switzerland,Europe & Central Asia,0.946,83.6,16.2,13.4,"59,375",0.037,1,5,2.8,29.3,96.4,97.2,62.6,74.1
3,Ireland,Europe & Central Asia,0.942,82.1,18.8,12.5,"55,660",0.093,22,8,7.5,24.3,90.2,86.3,55.1,68.1
4,Germany,Europe & Central Asia,0.939,81.2,17.1,14.1,"46,946",0.084,19,6,8.1,31.5,96,96.6,55.3,66.2
6,Australia,East Asia & Pacific,0.938,83.3,22.1,12.7,"44,097",0.103,25,6,11.7,32.7,90,90.7,59.7,70.5
6,Iceland,Europe & Central Asia,0.938,82.9,19.2,12.5,"47,566",0.057,9,3,6.3,38.1,100,100,72.1,80.6
8,Sweden,Europe & Central Asia,0.937,82.7,18.8,12.4,"47,955",0.04,2,4,5.1,46.1,88.8,89,61.1,67.6
9,Singapore,East Asia & Pacific,0.935,83.5,16.3,11.5,"83,793",0.065,11,10,3.5,23,76.3,83.3,60.5,76.3
10,Netherlands,Europe & Central Asia,0.933,82.1,18,12.2,"50,013",0.041,4,7,3.8,35.6,86.6,90.1,58,68.9
11,Denmark,Europe & Central Asia,0.93,80.8,19.1,12.6,"48,836",0.04,2,6,4.1,37.4,89.2,89.4,58.1,65.9
12,Finland,Europe & Central Asia,0.925,81.7,19.3,12.4,"41,779",0.05,7,3,5.8,42,100,100,55,62.2
13,Canada,North America,0.922,82.3,16.1,13.3,"43,602",0.083,18,7,8.4,31.7,100,100,60.9,69.7
14,New Zealand,East Asia & Pacific,0.921,82.1,18.8,12.7,"35,108",0.133,34,11,19.3,38.3,97.2,96.6,64.6,75.7
15,United Kingdom,Europe & Central Asia,0.92,81.2,17.4,13,"39,507",0.119,27,9,13.4,28.9,82.9,85.7,57.1,67.8
15,United States,North America,0.92,78.9,16.3,13.4,"56,140",0.182,42,14,19.9,23.6,95.7,95.5,56.1,68.2
17,Belgium,Europe & Central Asia,0.919,81.5,19.7,11.8,"43,821",0.045,6,7,4.7,41.4,82.6,87.1,47.9,58.9
19,Japan,East Asia & Pacific,0.915,84.5,15.2,12.8,"40,799",0.099,23,5,3.8,13.7,95.2,92.2,51.4,70.7
20,Austria,Europe & Central Asia,0.914,81.4,16.3,12.6,"46,231",0.073,14,4,7.3,34.8,100,100,54.8,65.9
21,Luxembourg,Europe & Central Asia,0.909,82.1,14.2,12.2,"65,543",0.078,16,10,4.7,20,100,100,53.5,62.7
22,Israel,Middle East & North Africa,0.906,82.8,16,13,"33,650",0.1,24,5,9.6,27.5,87.8,90.5,59.2,69.1
22,Korea (Republic of),East Asia & Pacific,0.906,82.8,16.4,12.2,"36,757",0.058,10,11,1.4,17,89.8,95.6,52.8,73.3
24,Slovenia,Europe & Central Asia,0.902,81.2,17.4,12.3,"32,143",0.069,12,9,3.8,20,97,98.3,53.4,62.7
25,Spain,Europe & Central Asia,0.893,83.4,17.9,9.8,"35,041",0.074,15,5,7.7,38.6,73.3,78.4,51.7,63.4
26,Czech Republic,Europe & Central Asia,0.891,79.2,16.8,12.7,"31,597",0.137,35,4,12,20.3,99.8,99.8,52.4,68.4
26,France,Europe & Central Asia,0.891,82.5,15.5,11.4,"40,511",0.051,8,8,4.7,35.7,81,86.3,50.3,60
28,Malta,Middle East & North Africa,0.885,82.4,15.9,11.3,"34,795",0.195,44,9,12.9,11.9,74.3,82.2,43.3,66.2
29,Italy,Europe & Central Asia,0.883,83.4,16.2,10.2,"36,141",0.069,12,4,5.2,35.6,75.6,83,40,58.4
30,Estonia,Europe & Central Asia,0.882,78.6,16.1,13,"30,379",0.091,21,9,7.7,26.7,100,100,57,70.9
31,Cyprus,Europe & Central Asia,0.873,80.8,14.7,12.1,"33,100",0.086,20,7,4.6,17.9,78.2,82.6,57.3,67.2
