Index,Country,Region,2010,2013,2015,2016,2017,2018
GII,Afghanistan,South Asia,0.665,0.633,0.614,0.605,0.59,0.575
GII,Albania,Europe & Central Asia,0.269,0.266,0.256,0.249,0.236,0.234
GII,Algeria,Middle East & North Africa,0.523,0.432,0.442,0.439,0.447,0.443
GII,Armenia,Europe & Central Asia,0.345,0.311,0.301,0.3,0.263,0.259
GII,Australia,East Asia & Pacific,0.138,0.119,0.11,0.107,0.104,0.103
GII,Austria,Europe & Central Asia,0.111,0.093,0.089,0.086,0.078,0.073
GII,Azerbaijan,Europe & Central Asia,0.302,0.309,0.31,0.315,0.318,0.321
GII,Bahamas,Latin America & Caribbean,0.386,0.379,0.374,0.372,0.353,0.353
GII,Bahrain,Middle East & North Africa,0.236,0.215,0.226,0.225,0.223,0.207
GII,Bangladesh,South Asia,0.588,0.563,0.549,0.547,0.538,0.536
GII,Barbados,Latin America & Caribbean,0.32,0.296,0.295,0.289,0.283,0.256
GII,Belarus,Europe & Central Asia,0.15,0.153,0.153,0.136,0.129,0.119
GII,Belgium,Europe & Central Asia,0.091,0.074,0.057,0.053,0.05,0.045
GII,Belize,Latin America & Caribbean,0.425,0.39,0.386,0.384,0.393,0.391
GII,Benin,Sub-Saharan Africa,0.623,0.621,0.622,0.618,0.614,0.613
GII,Bolivia (Plurinational State of),Latin America & Caribbean,0.503,0.49,0.456,0.448,0.448,0.446
GII,Bosnia and Herzegovina,Europe & Central Asia,0.235,0.194,0.177,0.173,0.167,0.162
GII,Botswana,Sub-Saharan Africa,0.503,0.485,0.469,0.467,0.466,0.464
GII,Brazil,Latin America & Caribbean,0.456,0.43,0.413,0.41,0.404,0.386
GII,Bulgaria,Europe & Central Asia,0.238,0.224,0.234,0.232,0.22,0.218
GII,Burkina Faso,Sub-Saharan Africa,0.619,0.605,0.623,0.621,0.612,0.612
GII,Burundi,Sub-Saharan Africa,0.544,0.535,0.524,0.523,0.521,0.52
GII,Cambodia,East Asia & Pacific,0.493,0.481,0.476,0.475,0.476,0.474
GII,Cameroon,Sub-Saharan Africa,0.623,0.582,0.577,0.574,0.572,0.566
GII,Canada,North America,0.126,0.113,0.108,0.099,0.092,0.083
GII,China,East Asia & Pacific,0.192,0.17,0.165,0.164,0.164,0.163
GII,Colombia,Latin America & Caribbean,0.456,0.436,0.413,0.41,0.411,0.411
GII,Congo,Sub-Saharan Africa,0.613,0.604,0.592,0.59,0.58,0.579
GII,Congo (Democratic Republic of the),Sub-Saharan Africa,0.679,0.646,0.659,0.656,0.655,0.655
GII,Costa Rica,Latin America & Caribbean,0.321,0.304,0.308,0.309,0.303,0.285
GII,Croatia,Europe & Central Asia,0.146,0.133,0.15,0.158,0.128,0.122
GII,Cuba,Latin America & Caribbean,0.326,0.319,0.32,0.319,0.318,0.313
GII,Cyprus,Europe & Central Asia,0.132,0.134,0.114,0.09,0.087,0.086
GII,Czech Republic,Europe & Central Asia,0.135,0.138,0.134,0.135,0.133,0.137
GII,Côte d'Ivoire,Sub-Saharan Africa,0.679,0.663,0.663,0.66,0.658,0.657
GII,Denmark,Europe & Central Asia,0.056,0.046,0.044,0.042,0.041,0.04
GII,Dominican Republic,Latin America & Caribbean,0.473,0.489,0.473,0.457,0.454,0.453
GII,Ecuador,Latin America & Caribbean,0.421,0.407,0.393,0.387,0.39,0.389
GII,El Salvador,Latin America & Caribbean,0.442,0.412,0.397,0.394,0.398,0.397
GII,Estonia,Europe & Central Asia,0.169,0.162,0.144,0.132,0.11,0.091
GII,Eswatini (Kingdom of),Sub-Saharan Africa,0.577,0.583,0.574,0.572,0.571,0.579
GII,Ethiopia,Sub-Saharan Africa,0.58,0.558,0.519,0.515,0.512,0.508
GII,Finland,Europe & Central Asia,0.077,0.067,0.063,0.059,0.055,0.05
GII,France,Europe & Central Asia,0.107,0.089,0.086,0.08,0.058,0.051
GII,Gabon,Sub-Saharan Africa,0.555,0.548,0.543,0.542,0.537,0.534
GII,Gambia,Sub-Saharan Africa,0.665,0.653,0.637,0.633,0.625,0.62
GII,Georgia,Europe & Central Asia,0.42,0.38,0.378,0.356,0.354,0.351
GII,Germany,Europe & Central Asia,0.097,0.083,0.076,0.076,0.084,0.084
